# SimbadName  RA       DEC       RAx         DECx       
  SMP_SMC_25  14.91883 -71.63753 00:59:40.52 -71:38:15.1
  SMP_SMC_34  18.04542 -71.44739 01:12:10.90 -71:26:50.6
  SMP_SMC_5   10.34029 -72.75467 00:41:21.67 -72:45:16.8
  SMP_SMC_8   10.85554 -72.63867 00:43:25.33 -72:38:19.2
  SMP_SMC_2   8.16179  -71.69986 00:32:38.83 -71:41:59.5
  SMP_SMC_24  14.817   -72.03325 00:59:16.08 -72:01:59.7
  SMP_SMC_1   5.99433  -73.63444 00:23:58.64 -73:38:04.0
  SMP_SMC_6   10.36583 -73.78508 00:41:27.80 -73:47:06.3
  SMP_SMC_3   8.59137  -73.22264 00:34:21.93 -73:13:21.5
  SMP_SMC_15  12.78071 -73.96047 00:51:07.37 -73:57:37.7
  SMP_SMC_12  12.33775 -73.88294 00:49:21.06 -73:52:58.6
  SMP_SMC_13  12.46533 -73.73936 00:49:51.68 -73:44:21.7
  SMP_SMC_14  12.64608 -73.71608 00:50:35.06 -73:42:57.9
  SMP_SMC_32  13.42837 -73.61883 00:53:42.81 -73:37:07.8
  SMP_SMC_26  16.07475 -73.36425 01:04:17.94 -73:21:51.3
  MGPN_SMC_10 16.21417 -73.08944 01:04:51.40 -73:05:22.0
  SMP_SMC_23  14.67642 -72.95    00:58:42.34 -72:57:00.0
  SMP_SMC_19  13.29646 -72.75211 00:53:11.15 -72:45:07.6
  SMP_SMC_28  21.04921 -74.04239 01:24:11.81 -74:02:32.6
  SMP_SMC_27  20.29479 -73.243   01:21:10.75 -73:14:34.8
  SMC1        7.295    -74.96109 00:29:10.80 -74:57:39.9
