# Name           Type Ra             Dec                 RA                 DEC               
  LHA115-N8      Y*O  00:43:12.94    -72:59:58.5         10.803916666666666 -72.99958333333333
  LHA115-N9      PN   00:43:36.68917 -73:02:26.701296959 10.902871541666665 -73.0407503602664 
  IRAS00429-7313 Y*O  00:44:51.970   -72:57:34.29        11.216541666666664 -72.959525        
  LHA115-N10     Y*O  00:44:56.578   -73:10:10.52        11.235741666666666 -73.16958888888891
  LHA115-N11     EmO  00:45:02.90    -73:16:40.0         11.26208333333333  -73.27777777777776
  [IJC2004]B0043 HII  00:45:15.7     -73:06:07.0         11.315416666666664 -73.10194444444444
  [MA93]121      Em*  00:46:10.9453  -73:25:35.603065855 11.545605416666668 -73.42655640718195
  LHA115-N14     Em*  00:46:17.2     -73:12:40.0         11.57166666666667  -73.2111111111111 
  [WFC2012]9     HII  00:46:40.3     -73:22:21.0         11.667916666666665 -73.3725          
  [WFC2012]10    HII  00:46:45.9     -73:10:17.0         11.691249999999995 -73.17138888888887
  [WFC2012]11    HII  00:47:53.5     -73:17:09.0         11.972916666666661 -73.28583333333334
  LHA115-N19     HII  00:48:06       -73:09:00.0         12.024999999999995 -73.14999999999999
  LHA115-N26     PN   00:48:08.624   -73:14:54.62        12.035933333333332 -73.24850555555554
  [WFC2012]13    HII  00:48:18.7     -73:05:58.0         12.077916666666665 -73.09944444444443
  [WFC2012]14    HII  00:48:27.0     -73:06:06.0         12.112499999999994 -73.10166666666667
  [WFC2012]15    HII  00:48:29.9     -73:06:26.0         12.12458333333333  -73.10722222222222
  LHA115-N29     PN   00:48:36.526   -72:58:00.91        12.15219166666666  -72.96691944444441
  LHA115-N31     Y*O  00:48:41.869   -73:26:15.17        12.174454166666672 -73.43754722222224
  LHA115-N30A    Em*  00:48:57.032   -73:09:54.07        12.237633333333331 -73.16501944444444
  [WFC2012]19    HII  00:49:01.8     -73:11:09.0         12.2575            -73.18583333333332
  LHA115-N33     Em*  00:49:29.32080 -73:26:34.7208      12.37217           -73.442978        
  [WFC2012]21    HII  00:49:30.4     -73:26:21.0         12.376666666666662 -73.43916666666665
  LHA115-N32     Y*O  00:49:39.4     -72:48:47.0         12.41416666666667  -72.81305555555555
  [WFC2012]22    HII  00:49:40.4     -73:09:58.0         12.418333333333333 -73.1661111111111 
  DEMS50         Al*  00:49:42.97    -73:10:37.6         12.42904166666666  -73.1771111111111 
  LHA115-N34     Em*  00:49:46.357   -73:10:25.62        12.44315416666666  -73.17378333333332
  [MA93]384      Y*O  00:50:43.267   -72:46:55.85        12.680279166666672 -72.78218055555557
  [WFC2012]27    HII  00:51:41.2     -73:13:31.0         12.921666666666667 -73.22527777777778
  LIN184         Em*  00:51:47.6     -72:50:46.0         12.948333333333338 -72.84611111111111
  LHA115-N47     PN   00:51:58.311   -73:20:31.87        12.9929625         -73.34218611111112
  [MA93]548      Em*  00:52:12.73083 -73:36:06.919661389 13.053045124999999 -73.60192212816361
  NAMESMC        G    00:52:38.0     -72:48:01.0         13.158333333333335 -72.80027777777778
  LHA15-N61      HII  00:57:29.96    -72:32:24.0         14.374833333333326 -72.54            
  LHA115-N63     Em*  00:58:16.29    -72:38:46.8         14.567875          -72.64633333333335
  [IJC2004]B0057 HII  00:59:11.0     -72:11:40.0         14.795833333333333 -72.19444444444444
  [WFC2012]34    HII  00:59:14.9     -72:11:03.0         14.812083333333327 -72.18416666666666
  LHA115-N71     SFR  01:00:58.22    -71:35:28.6         15.242583333333338 -71.59127777777779
  [WFC2012]36    HII  01:01:32.2     -71:50:42.0         15.38416666666666  -71.84499999999998
  LHA115-N77B    Em*  01:02:44.2323  -71:53:30.706578077 15.684301250000003 -71.89186293835473
  DEMS117        SFR  01:02:49.0     -71:53:13.0         15.704166666666673 -71.88694444444444
  LHA115-N77A    Em*  01:02:49.122   -71:53:17.99        15.704674999999996 -71.88833055555556
  LHA115-N78B    Em*  01:05:03.951   -71:59:25.89        16.26646250000001  -71.990525        
  LHA115-N78A    Em*  01:05:04.863   -71:59:00.87        16.2702625         -71.98357500000002
  [WFC2012]41    HII  01:05:08.4     -71:59:46.0         16.285             -71.99611111111109
  [IJC2004]B0107 HII  01:08:32.4     -72:11:19.0         17.134999999999998 -72.18861111111111
  HD7113         Em*  01:09:13.066   -73:11:38.92        17.304441666666662 -73.19414444444446
  LIN499         Al*  01:13:51.9726  -73:15:47.959017598 18.4665525         -73.26332194933278
  LHA115-N84C    Em*  01:14:17.17    -73:15:49.4         18.57154166666666  -73.26372222222223
  LHA115-N84B    Em*  01:14:47.23332 -73:19:46.568937598 18.6968055         -73.32960248266612
  [WFC2012]47    HII  01:17:25.0     -73:09:17.0         19.354166666666668 -73.1547222222222 
  LHA115-N88     HII  01:24:08.1     -73:09:04.0         21.033750000000005 -73.1511111111111 
