recno,Name,A3727,A3869,A4959,A6312,A6584,A6717,A7135,A7320,SimbadName,_RA,_DE
1,"SMP 1",1.0E-4,1.6E-5,7.6E-5,1.1E-6,6.9E-6,3.7E-7,2.7E-7,1.2E-4,"MGPN SMC 1",5.88667,-74.87528
2,"SMP 2",4.3E-6,1.9E-5,1.2E-4,7.2E-7,1.0E-6,5.9E-8,1.9E-7,1.2E-5,"MGPN SMC 10",16.21417,-73.08944
3,"SMP 3",3.9E-6,2.2E-5,1.4E-4,5.9E-7,4.7E-7,2.5E-8,1.4E-7,1.4E-5,"MGPN SMC 11",17.16625,-72.30194
4,"SMP 4",4.0E-7,1.4E-5,8.2E-5,2.4E-7,1.4E-7,9.2E-9,1.0E-7,2.0E-6,"MGPN SMC 12",18.59833,-71.08972
5,"SMP 5",1.5E-5,2.8E-5,1.6E-4,5.3E-6,3.2E-6,2.3E-7,3.1E-7,2.9E-5,"MGPN SMC 13",25.79375,-72.95056
6,"SMP 6",2.4E-5,2.5E-5,1.4E-4,1.4E-6,6.4E-6,4.5E-7,3.3E-7,1.9E-5,"MGPN SMC 2",7.0425,-72.97889
7,"SMP 7",3.7E-6,1.8E-5,8.4E-5,7.8E-7,8.3E-7,4.7E-8,1.1E-7,4.4E-6,"MGPN SMC 3",7.3375,-72.23528
8,"SMP 8",3.8E-6,1.6E-5,1.2E-4,6.8E-7,3.4E-7,2.2E-8,1.7E-7,1.4E-5,"MGPN SMC 5",10.36375,-75.04778
9,"SMP 9",1.1E-5,2.9E-5,1.3E-4,1.3E-6,1.7E-6,1.2E-7,2.8E-7,1.1E-5,"MGPN SMC 6",11.10667,-73.86083
10,"SMP 10",5.1E-6,3.0E-5,1.9E-4,9.0E-7,1.6E-6,3.5E-8,2.6E-7,2.0E-5,"MGPN SMC 7",11.92708,-74.80417
11,"SMP 11",1.5E-5,6.0E-6,3.9E-5,1.1E-6,9.1E-7,8.9E-8,3.1E-7,5.0E-5,"MGPN SMC 8",14.08208,-72.11667
12,"SMP 12",5.1E-7,1.3E-5,8.4E-5,1.0E-6,1.1E-7,1.2E-8,6.5E-8,5.6E-6,"MGPN SMC 9",14.67887,-72.45467
13,"SMP 13",3.5E-6,2.2E-5,1.6E-4,8.0E-7,1.3E-6,7.7E-8,1.9E-7,2.8E-5,"NAME SMC1",7.295,-74.96109
14,"SMP 14",5.1E-6,2.7E-5,1.4E-4,7.5E-7,1.2E-6,7.1E-8,1.9E-7,1.2E-5,"NAME SMC2",10.6999,-74.69997
15,"SMP 15",2.9E-6,2.5E-5,1.1E-4,9.7E-7,1.5E-6,2.6E-8,2.2E-7,3.4E-5,"SMP SMC 1",5.99433,-73.63444
16,"SMP 16",4.1E-4,1.3E-5,5.6E-5,1.2E-6,1.1E-5,1.2E-6,1.4E-7,5.8E-5,"SMP SMC 10",11.74862,-72.82111
17,"SMP 17",7.9E-5,4.1E-5,2.6E-4,1.2E-6,2.6E-6,8.8E-7,3.1E-7,2.6E-5,"SMP SMC 11",12.1475,-72.96917
18,"SMP 18",1.8E-5,2.4E-5,9.1E-5,1.1E-6,3.5E-6,6.7E-8,3.2E-7,1.4E-4,"SMP SMC 12",12.33775,-73.88294
19,"SMP 19",3.7E-6,2.1E-5,1.3E-4,6.5E-7,1.2E-6,3.8E-8,9.9E-8,1.1E-5,"SMP SMC 13",12.46533,-73.73936
20,"SMP 20",1.0E-6,1.1E-5,6.8E-5,3.5E-7,4.1E-7,1.1E-8,6.0E-8,2.2E-5,"SMP SMC 14",12.64608,-73.71608
21,"SMP 21",1.8E-6,7.1E-6,2.5E-5,5.6E-7,4.4E-6,1.5E-7,1.3E-7,3.1E-6,"SMP SMC 15",12.78071,-73.96047
22,"SMP 22",1.2E-6,3.7E-6,1.2E-5,2.8E-7,7.4E-6,1.1E-7,7.8E-8,2.1E-6,"SMP SMC 16",12.86312,-72.43658
23,"SMP 23",1.4E-6,2.4E-5,1.2E-4,3.8E-7,1.5E-7,1.3E-8,1.6E-7,,"SMP SMC 17",12.98517,-71.41225
24,"SMP 24",1.5E-5,1.9E-5,9.6E-5,1.0E-6,2.4E-6,6.4E-8,2.2E-7,6.2E-5,"SMP SMC 18",12.99292,-73.34217
25,"SMP 25",1.8E-7,2.6E-6,8.2E-6,1.8E-7,1.0E-6,1.0E-8,4.3E-8,1.3E-6,"SMP SMC 19",13.29646,-72.75211
26,"SMP 26",1.0E-5,1.3E-5,4.0E-5,6.0E-7,1.1E-5,1.3E-7,1.3E-7,5.3E-6,"SMP SMC 2",8.16179,-71.69986
27,"SMP 27",6.4E-6,1.7E-5,1.1E-4,5.3E-7,6.5E-7,3.5E-8,1.2E-7,1.3E-5,"SMP SMC 20",14.02233,-70.32383
28,"SMP 28",8.7E-7,5.7E-6,1.3E-5,5.2E-7,5.9E-6,6.0E-8,1.2E-7,1.9E-6,"SMP SMC 21",14.12871,-72.45044
29,"SMP 32",4.4E-7,1.4E-5,8.4E-5,5.5E-7,6.1E-8,1.5E-8,3.3E-8,2.2E-6,"SMP SMC 22",14.65212,-71.59694
30,"SMP 34",3.1E-5,2.4E-5,7.3E-5,2.5E-7,4.7E-6,3.1E-7,1.2E-7,3.4E-5,"SMP SMC 23",14.67642,-72.95
31,"MGPN 1",4.2E-6,4.5E-6,7.9E-5,9.8E-6,4.2E-6,3.5E-7,3.7E-7,,"SMP SMC 24",14.817,-72.03325
32,"MGPN 2",9.3E-7,7.4E-6,2.5E-5,4.9E-7,7.4E-8,2.7E-8,1.7E-7,3.3E-6,"SMP SMC 25",14.91883,-71.63753
33,"MGPN 3",6.2E-6,8.2E-6,3.9E-5,6.4E-6,1.3E-7,3.0E-7,3.1E-7,,"SMP SMC 26",16.07475,-73.36425
34,"MGPN 5",8.8E-7,4.7E-6,2.9E-5,2.9E-6,6.5E-7,9.8E-9,3.6E-7,1.5E-5,"SMP SMC 27",20.29479,-73.243
35,"MGPN 6",2.6E-7,6.2E-7,4.6E-6,1.1E-6,2.9E-7,1.0E-7,1.8E-7,,"SMP SMC 28",21.04921,-74.04239
36,"MGPN 7",2.4E-5,3.0E-5,5.5E-5,,5.5E-6,3.9E-7,1.6E-7,4.7E-6,"SMP SMC 3",8.59137,-73.22264
37,"MGPN 8",1.7E-4,1.3E-6,5.8E-6,8.6E-7,8.1E-6,1.9E-6,8.9E-8,5.0E-6,"SMP SMC 32",13.42837,-73.61883
38,"MGPN 9",1.3E-6,4.8E-6,2.4E-5,3.6E-7,2.2E-7,2.2E-8,1.1E-7,5.4E-6,"SMP SMC 34",18.04542,-71.44739
39,"MGPN 10",3.1E-7,2.1E-6,1.0E-5,1.5E-6,2.7E-7,9.3E-8,1.5E-7,,"SMP SMC 4",10.19254,-75.27244
40,"MGPN 11",7.9E-6,4.2E-6,7.2E-5,5.6E-6,6.6E-6,4.1E-8,2.9E-7,1.9E-5,"SMP SMC 5",10.34029,-72.75467
